Rank,Customer Name,Total Profit,Percent Of Accued Profit 2015
1,Deborah Brumfield,8400.045,6.0%
2,Raymond Book,8280.0322,11.9%
3,Clytie Kelty,7614.0094,17.4%
4,Jack OBriant,7009.8195,22.4%
5,Philip Brown,6921.461,27.4%
6,Nora Pelletier,6824.5916,32.3%
7,Cindy Schnelling,6225.830800000001,36.7%
8,Dorris Love,4689.2930000000015,40.1%
9,Janet Lee,4383.515,43.2%
10,Gary Zandusky,4192.036799999999,46.2%
11,Carl Ludwig,4162.5025,49.2%
12,Art Miller,2958.0136,51.3%
13,Tamara Manning,2907.4714000000004,53.4%
14,Doug Jacobs,2737.0944,55.3%
15,Cindy Stewart,2588.4300000000003,57.2%
16,Charles Crestani,2552.8827,59.0%
17,Corinna Mitchell,2433.5975999999996,60.8%
18,Shui Tom,2333.0692,62.4%
19,Doug Bickford,2287.4319000000005,64.1%
20,Guy Armstrong,2084.445,65.6%
21,Henry Goldwyn,1814.5935999999997,66.9%
22,Alan Schoenberger,1759.5468,68.1%
23,Roy Collins,1735.5580000000002,69.4%
24,Victor Price,1725.0965999999999,70.6%
25,Michael Chen,1703.3268,71.8%
26,Magdelene Morse,1622.3983999999996,73.0%
27,Mitch Gastineau,1551.634,74.1%
28,Maxwell Schwartz,1372.5451999999998,75.1%
29,Ellis Ballard,1333.2472,76.0%
30,Valerie Mitchum,1333.1426,77.0%
31,Denise Monton,1300.3656000000003,77.9%
32,Alan Shonely,1185.6190000000001,78.8%
33,Sibella Parks,1021.7922000000002,79.5%
34,Keith Dawkins,1012.4682,80.2%
35,Sally Knutson,1010.0649999999999,81.0%
36,Patrick OBrill,997.588,81.7%
37,Bill Donatelli,884.6870999999999,82.3%
38,Harold Pawlan,851.8299999999999,82.9%
39,Thomas Boland,798.3122999999998,83.5%
40,Lauren Leatherbury,733.4548,84.0%
41,Allen Armold,711.5681999999998,84.5%
42,Karl Brown,689.128,85.0%
43,Michael Oakman,648.6704,85.5%
44,Dan Campbell,630.8736,85.9%
45,Mike Kennedy,587.1254,86.3%
46,Larry Tron,534.6193999999999,86.7%
47,Toby Grace,529.278,87.1%
48,Carlos Soltero,524.422,87.5%
49,Ed Braxton,519.3134999999999,87.9%
50,Paul MacIntyre,486.35099999999994,88.2%
51,Brad Thomas,472.37899999999996,88.5%
52,Julia Dunbar,401.2545000000001,88.8%
53,Frank Carlisle,395.9816,89.1%
54,Max Jones,386.04199999999986,89.4%
55,Julie Prescott,372.3435,89.7%
56,Gary McGarr,346.20899999999995,89.9%
57,Michelle Moray,337.58,90.1%
58,Naresj Patel,336.2712000000001,90.4%
59,Michelle Lonsdale,332.1449999999999,90.6%
60,Ralph Kennedy,295.2619999999999,90.8%
61,Vivek Grady,289.46399999999994,91.0%
62,Giulietta Baptist,272.628,91.2%
63,Larry Hughes,272.49500000000006,91.4%
64,Tracy Collins,272.42159999999996,91.6%
65,Maya Herman,270.40259999999995,91.8%
66,Carol Triggs,267.85839999999996,92.0%
67,Bill Stewart,261.9566,92.2%
68,Mitch Webber,243.74070000000003,92.4%
69,Matt Collister,241.07779999999997,92.5%
70,Sarah Brown,237.91000000000003,92.7%
71,Erin Creighton,234.03099999999998,92.9%
72,Brad Norvell,233.672,93.1%
73,Ionia McGrath,231.63299999999998,93.2%
74,Alejandro Ballentine,231.60500000000002,93.4%
75,Anthony Rawles,230.008,93.5%
76,William Brown,227.24460000000002,93.7%
77,Bradley Nguyen,224.33,93.9%
78,Nora Price,222.3666,94.0%
79,George Bell,219.05999999999997,94.2%
80,Jonathan Howell,210.91199999999998,94.3%
81,Nathan Mautz,207.8195,94.5%
82,Frank Hawley,191.1294,94.6%
83,Shahid Shariari,186.672,94.8%
84,Grant Carroll,180.8896,94.9%
85,Penelope Sewall,176.1846,95.0%
86,Nicole Brennan,169.6375,95.1%
87,Lena Creighton,166.764,95.3%
88,Annie Thurman,166.12619999999998,95.4%
89,Mike Gockenbach,163.17000000000002,95.5%
90,Nona Balk,149.6448,95.6%
91,Anne McFarland,149.5052,95.7%
92,Barry Franz,148.70399999999998,95.8%
93,Max Engle,144.9612,95.9%
94,Chuck Clark,144.7984,96.0%
95,Chad McGuire,142.5876,96.1%
96,Suzanne McNair,141.19559999999998,96.2%
97,Cari Schnelling,139.7232,96.3%
98,Julie Creighton,134.00099999999998,96.4%
99,Anthony Johnson,131.82,96.5%
100,Shahid Hopkins,121.09,96.6%
101,Neil French,120.93640000000003,96.7%
102,Tom Stivers,115.95530000000002,96.8%
103,Jenna Caffey,115.41199999999999,96.9%
104,Bobby Trafton,111.17619999999998,96.9%
105,Stefania Perrino,110.52000000000002,97.0%
106,Dave Hallsten,105.544,97.1%
107,Thais Sissman,103.1056,97.2%
108,Laura Armstrong,102.2892,97.2%
109,Maria Bertelson,102.2532,97.3%
110,Tony Sayre,101.0352,97.4%
111,Denny Blanton,98.0658,97.4%
112,Tom Ashbrook,95.95200000000003,97.5%
113,Kelly Williams,95.67000000000002,97.6%
114,Beth Fritzler,93.3664,97.7%
115,Tamara Chand,92.46600000000001,97.7%
116,Saphhira Shifley,91.0726,97.8%
117,Dianna Arnett,89.59000000000003,97.8%
118,Stephanie Ulpright,88.9928,97.9%
119,Raymond Fair,80.568,98.0%
120,Alan Hwang,79.8516,98.0%
121,Barry Gonzalez,76.545,98.1%
122,Brian Thompson,73.3312,98.1%
123,Alejandro Grove,69.363,98.2%
124,Greg Tran,68.21249999999998,98.2%
125,Sean ODonnell,63.000000000000014,98.3%
126,Denise Leinenbach,60.812000000000005,98.3%
127,Lycoris Saunders,58.978799999999985,98.4%
128,Cynthia Delaney,58.4304,98.4%
129,Lynn Smith,57.96,98.4%
130,Jim Kriz,56.985600000000005,98.5%
131,Thomas Thornton,55.556,98.5%
132,Astrea Jones,53.469800000000006,98.6%
133,Arthur Gainer,52.34760000000001,98.6%
134,Erica Bern,51.1812,98.6%
135,Edward Becker,50.28269999999999,98.7%
136,Cyra Reiten,49.93279999999999,98.7%
137,Michelle Huthwaite,49.54879999999999,98.7%
138,Arianne Irving,46.43759999999999,98.8%
139,David Smith,46.12439999999999,98.8%
140,Christopher Schild,46.0288,98.8%
141,Susan Vittorini,44.444800000000015,98.9%
142,Rick Hansen,43.984,98.9%
143,Tanja Norvell,43.89,98.9%
144,Trudy Schmidt,43.598800000000004,99.0%
145,Peter McVee,42.842,99.0%
146,Christine Sundaresam,41.4336,99.0%
147,Fred McMath,40.72,99.1%
148,Dennis Bolton,40.404799999999994,99.1%
149,Sandra Glassco,37.5984,99.1%
150,Jack Lebron,36.93599999999999,99.1%
151,Steve Carroll,36.8956,99.2%
152,Sylvia Foulston,36.3137,99.2%
153,Richard Bierner,34.88640000000001,99.2%
154,Patrick Ryan,34.1305,99.2%
155,Brian Dahlen,33.632,99.3%
156,Olvera Toch,33.55,99.3%
157,Ricardo Block,33.054,99.3%
158,Art Ferguson,32.9184,99.3%
159,Jim Sink,32.745599999999996,99.4%
160,Joy Smith,32.129999999999995,99.4%
161,Fred Chung,32.039,99.4%
162,Anthony Garverick,31.464,99.4%
163,Luke Weiss,31.422599999999996,99.5%
164,Bryan Spruell,31.3026,99.5%
165,Annie Cyprus,31.270799999999998,99.5%
166,Beth Thompson,30.983999999999995,99.5%
167,Carl Jackson,30.611999999999995,99.5%
168,Troy Blackwell,24.702000000000005,99.6%
169,Eleni McCrary,24.544800000000002,99.6%
170,Craig Molinari,23.9382,99.6%
171,Clay Rozendal,23.414399999999993,99.6%
172,Sarah Foster,22.167599999999997,99.6%
173,Valerie Dominguez,21.0704,99.6%
